PRODUCTKEY,SUBCATEGORYKEY,SUBCATEGORY,CATEGORYKEY,CATEGORY
1,101,MP4&MP3,1,Audio
2,101,MP4&MP3,1,Audio
3,101,MP4&MP3,1,Audio
4,101,MP4&MP3,1,Audio
5,101,MP4&MP3,1,Audio
6,101,MP4&MP3,1,Audio
7,101,MP4&MP3,1,Audio
8,101,MP4&MP3,1,Audio
9,101,MP4&MP3,1,Audio
10,101,MP4&MP3,1,Audio
11,101,MP4&MP3,1,Audio
12,101,MP4&MP3,1,Audio
13,101,MP4&MP3,1,Audio
14,101,MP4&MP3,1,Audio
15,101,MP4&MP3,1,Audio
16,101,MP4&MP3,1,Audio
17,101,MP4&MP3,1,Audio
18,101,MP4&MP3,1,Audio
19,101,MP4&MP3,1,Audio
20,101,MP4&MP3,1,Audio
21,101,MP4&MP3,1,Audio
22,101,MP4&MP3,1,Audio
23,101,MP4&MP3,1,Audio
24,101,MP4&MP3,1,Audio
25,101,MP4&MP3,1,Audio
26,101,MP4&MP3,1,Audio
27,101,MP4&MP3,1,Audio
28,101,MP4&MP3,1,Audio
29,101,MP4&MP3,1,Audio
30,101,MP4&MP3,1,Audio
31,101,MP4&MP3,1,Audio
32,101,MP4&MP3,1,Audio
33,101,MP4&MP3,1,Audio
34,101,MP4&MP3,1,Audio
35,101,MP4&MP3,1,Audio
36,101,MP4&MP3,1,Audio
37,101,MP4&MP3,1,Audio
38,101,MP4&MP3,1,Audio
39,101,MP4&MP3,1,Audio
40,101,MP4&MP3,1,Audio
41,101,MP4&MP3,1,Audio
42,101,MP4&MP3,1,Audio
43,101,MP4&MP3,1,Audio
44,101,MP4&MP3,1,Audio
45,101,MP4&MP3,1,Audio
46,104,Recording Pen,1,Audio
47,104,Recording Pen,1,Audio
48,104,Recording Pen,1,Audio
49,104,Recording Pen,1,Audio
50,104,Recording Pen,1,Audio
51,104,Recording Pen,1,Audio
52,104,Recording Pen,1,Audio
53,104,Recording Pen,1,Audio
54,104,Recording Pen,1,Audio
55,104,Recording Pen,1,Audio
56,104,Recording Pen,1,Audio
57,104,Recording Pen,1,Audio
58,104,Recording Pen,1,Audio
59,104,Recording Pen,1,Audio
60,104,Recording Pen,1,Audio
61,104,Recording Pen,1,Audio
62,104,Recording Pen,1,Audio
63,104,Recording Pen,1,Audio
